date	name	code	newAdmissions	covidOccupiedMVBeds	hospitalCases	newPillarOneTestsByPublishDate	newPillarTwoTestsByPublishDate	newPillarThreeTestsByPublishDate	newPillarFourTestsByPublishDate	newDeathsByDeathDate	newCasesBySpecimenDate
2020-01-30	London	E40000003	240	0	0	0	0	0	0	0	1
2020-01-30	South East	E40000005	103	0	0	0	0	0	0	0	1
2020-01-30	South West	E40000006	29	0	0	0	0	0	0	0	2
2020-01-30	East of England	E40000007	23	0	0	0	0	0	0	0	1
2020-01-30	Midlands	E40000008	96	0	0	0	0	0	0	0	3
2020-01-30	North East and Yorkshire	E40000009	48	0	0	0	0	0	0	0	2
2020-01-30	North West	E40000010	47	0	0	0	0	0	0	0	1
2020-01-30	England	E92000001	586	0	0	0	0	0	0	0	1
2020-01-30	Northern Ireland	N92000002	0	0	11	0	0	0	0	0	1
2020-01-30	Scotland	S92000003	7	0	0	0	0	0	0	0	1
2020-01-30	Wales	W92000004	32	16	110	0	0	0	0	0	1
2020-01-31	London	E40000003	240	0	0	0	0	0	0	0	1
2020-01-31	South East	E40000005	103	0	0	0	0	0	0	0	1
2020-01-31	South West	E40000006	29	0	0	0	0	0	0	0	2
2020-01-31	East of England	E40000007	23	0	0	0	0	0	0	0	1
2020-01-31	Midlands	E40000008	96	0	0	0	0	0	0	0	3
2020-01-31	North East and Yorkshire	E40000009	48	0	0	0	0	0	0	0	1
2020-01-31	North West	E40000010	47	0	0	0	0	0	0	0	1
2020-01-31	England	E92000001	586	0	0	0	0	0	0	0	0
2020-01-31	Northern Ireland	N92000002	0	0	11	0	0	0	0	0	1
2020-01-31	Scotland	S92000003	7	0	0	0	0	0	0	0	1
2020-01-31	Wales	W92000004	32	16	110	0	0	0	0	0	1
2020-02-01	London	E40000003	240	0	0	0	0	0	0	0	1
2020-02-01	South East	E40000005	103	0	0	0	0	0	0	0	1
2020-02-01	South West	E40000006	29	0	0	0	0	0	0	0	2
2020-02-01	East of England	E40000007	23	0	0	0	0	0	0	0	1
2020-02-01	Midlands	E40000008	96	0	0	0	0	0	0	0	3
2020-02-01	North East and Yorkshire	E40000009	48	0	0	0	0	0	0	0	1
2020-02-01	North West	E40000010	47	0	0	0	0	0	0	0	1
2020-02-01	England	E92000001	586	0	0	0	0	0	0	0	0
2020-02-01	Northern Ireland	N92000002	0	0	11	0	0	0	0	0	1
2020-02-01	Scotland	S92000003	7	0	0	0	0	0	0	0	1
2020-02-01	Wales	W92000004	32	16	110	0	0	0	0	0	1
2020-02-02	London	E40000003	240	0	0	0	0	0	0	0	1
2020-02-02	South East	E40000005	103	0	0	0	0	0	0	0	1
2020-02-02	South West	E40000006	29	0	0	0	0	0	0	0	2
2020-02-02	East of England	E40000007	23	0	0	0	0	0	0	0	1
2020-02-02	Midlands	E40000008	96	0	0	0	0	0	0	0	3
2020-02-02	North East and Yorkshire	E40000009	48	0	0	0	0	0	0	0	1
2020-02-02	North West	E40000010	47	0	0	0	0	0	0	0	1
2020-02-02	England	E92000001	586	0	0	0	0	0	0	0	1
2020-02-02	Northern Ireland	N92000002	0	0	11	0	0	0	0	0	1
2020-02-02	Scotland	S92000003	7	0	0	0	0	0	0	0	1
2020-02-02	Wales	W92000004	32	16	110	0	0	0	0	0	1
2020-02-03	London	E40000003	240	0	0	0	0	0	0	0	1
2020-02-03	South East	E40000005	103	0	0	0	0	0	0	0	1
2020-02-03	South West	E40000006	29	0	0	0	0	0	0	0	2
2020-02-03	East of England	E40000007	23	0	0	0	0	0	0	0	1
2020-02-03	Midlands	E40000008	96	0	0	0	0	0	0	0	3
2020-02-03	North East and Yorkshire	E40000009	48	0	0	0	0	0	0	0	1
2020-02-03	North West	E40000010	47	0	0	0	0	0	0	0	0
2020-02-03	England	E92000001	586	0	0	0	0	0	0	0	3
2020-02-03	Northern Ireland	N92000002	0	0	11	0	0	0	0	0	1
2020-02-03	Scotland	S92000003	7	0	0	0	0	0	0	0	1
2020-02-03	Wales	W92000004	32	16	110	0	0	0	0	0	1
2020-02-04	London	E40000003	240	0	0	0	0	0	0	0	1
2020-02-04	South East	E40000005	103	0	0	0	0	0	0	0	0
2020-02-04	South West	E40000006	29	0	0	0	0	0	0	0	0
2020-02-04	East of England	E40000007	23	0	0	0	0	0	0	0	1
2020-02-04	Midlands	E40000008	96	0	0	0	0	0	0	0	3
2020-02-04	North East and Yorkshire	E40000009	48	0	0	0	0	0	0	0	1
2020-02-04	North West	E40000010	47	0	0	0	0	0	0	0	0
2020-02-04	England	E92000001	586	0	0	0	0	0	0	0	0
2020-02-04	Northern Ireland	N92000002	0	0	11	0	0	0	0	0	1
2020-02-04	Scotland	S92000003	7	0	0	0	0	0	0	0	1
2020-02-04	Wales	W92000004	32	16	110	0	0	0	0	0	1
2020-02-05	London	E40000003	240	0	0	0	0	0	0	0	1
2020-02-05	South East	E40000005	103	0	0	0	0	0	0	0	1
2020-02-05	South West	E40000006	29	0	0	0	0	0	0	0	0
2020-02-05	East of England	E40000007	23	0	0	0	0	0	0	0	1
2020-02-05	Midlands	E40000008	96	0	0	0	0	0	0	0	3
2020-02-05	North East and Yorkshire	E40000009	48	0	0	0	0	0	0	0	1
2020-02-05	North West	E40000010	47	0	0	0	0	0	0	0	0
2020-02-05	England	E92000001	586	0	0	0	0	0	0	0	1
2020-02-05	Northern Ireland	N92000002	0	0	11	0	0	0	0	0	1
2020-02-05	Scotland	S92000003	7	0	0	0	0	0	0	0	1
2020-02-05	Wales	W92000004	32	16	110	0	0	0	0	0	1
2020-02-06	London	E40000003	240	0	0	0	0	0	0	0	1
2020-02-06	South East	E40000005	103	0	0	0	0	0	0	0	0
2020-02-06	South West	E40000006	29	0	0	0	0	0	0	0	0
2020-02-06	East of England	E40000007	23	0	0	0	0	0	0	0	1
2020-02-06	Midlands	E40000008	96	0	0	0	0	0	0	0	3
2020-02-06	North East and Yorkshire	E40000009	48	0	0	0	0	0	0	0	1
2020-02-06	North West	E40000010	47	0	0	0	0	0	0	0	0
2020-02-06	England	E92000001	586	0	0	0	0	0	0	0	0
2020-02-06	Northern Ireland	N92000002	0	0	11	0	0	0	0	0	1
2020-02-06	Scotland	S92000003	7	0	0	0	0	0	0	0	1
2020-02-06	Wales	W92000004	32	16	110	0	0	0	0	0	1
2020-02-07	London	E40000003	240	0	0	0	0	0	0	0	1
2020-02-07	South East	E40000005	103	0	0	0	0	0	0	0	0
2020-02-07	South West	E40000006	29	0	0	0	0	0	0	0	0
2020-02-07	East of England	E40000007	23	0	0	0	0	0	0	0	1
2020-02-07	Midlands	E40000008	96	0	0	0	0	0	0	0	3
2020-02-07	North East and Yorkshire	E40000009	48	0	0	0	0	0	0	0	1
2020-02-07	North West	E40000010	47	0	0	0	0	0	0	0	0
2020-02-07	England	E92000001	586	0	0	0	0	0	0	0	0
2020-02-07	Northern Ireland	N92000002	0	0	11	0	0	0	0	0	1
2020-02-07	Scotland	S92000003	7	0	0	0	0	0	0	0	1
2020-02-07	Wales	W92000004	32	16	110	0	0	0	0	0	1
2020-02-08	London	E40000003	240	0	0	0	0	0	0	0	1
2020-02-08	South East	E40000005	103	0	0	0	0	0	0	0	3
2020-02-08	South West	E40000006	29	0	0	0	0	0	0	0	0
2020-02-08	East of England	E40000007	23	0	0	0	0	0	0	0	1
2020-02-08	Midlands	E40000008	96	0	0	0	0	0	0	0	3
